alpha_max,cast_cap,k_shrink,precision,recall
0.82,0.27,5,0.006907894736842105,0.06907894736842106
0.89,0.23,5,0.006907894736842105,0.06907894736842106
0.81,0.29,5,0.006907894736842105,0.06907894736842106
0.82,0.24,5,0.006907894736842105,0.06907894736842106
0.81,0.3,5,0.006907894736842105,0.06907894736842106
0.84,0.25,5,0.006907894736842105,0.06907894736842106
0.84,0.2,3,0.006907894736842105,0.06907894736842106
0.84,0.21,3,0.006907894736842105,0.06907894736842106
0.84,0.22,3,0.006907894736842105,0.06907894736842106
0.84,0.23,5,0.006907894736842105,0.06907894736842106
0.84,0.26,5,0.006907894736842105,0.06907894736842106
0.85,0.26,5,0.006907894736842105,0.06907894736842106
0.84,0.24,5,0.006907894736842105,0.06907894736842106
0.85,0.19,3,0.006907894736842105,0.06907894736842106
0.85,0.2,3,0.006907894736842105,0.06907894736842106
0.85,0.21,3,0.006907894736842105,0.06907894736842106
0.85,0.22,3,0.006907894736842105,0.06907894736842106
0.85,0.23,5,0.006907894736842105,0.06907894736842106
0.86,0.19,3,0.006907894736842105,0.06907894736842106
0.86,0.18,3,0.006907894736842105,0.06907894736842106
0.88,0.22,3,0.006907894736842105,0.06907894736842106
0.88,0.21,3,0.006907894736842105,0.06907894736842106
0.88,0.19,3,0.006907894736842105,0.06907894736842106
0.88,0.2,3,0.006907894736842105,0.06907894736842106
0.88,0.18,3,0.006907894736842105,0.06907894736842106
0.85,0.25,5,0.006907894736842105,0.06907894736842106
0.85,0.24,5,0.006907894736842105,0.06907894736842106
0.86,0.23,5,0.006907894736842105,0.06907894736842106
0.86,0.21,3,0.006907894736842105,0.06907894736842106
0.86,0.23,3,0.006907894736842105,0.06907894736842106
0.86,0.22,3,0.006907894736842105,0.06907894736842106
0.86,0.2,3,0.006907894736842105,0.06907894736842106
0.86,0.24,5,0.006907894736842105,0.06907894736842106
0.86,0.25,5,0.006907894736842105,0.06907894736842106
0.87,0.23,3,0.006907894736842105,0.06907894736842106
0.87,0.24,5,0.006907894736842105,0.06907894736842106
0.87,0.21,3,0.006907894736842105,0.06907894736842106
0.87,0.18,3,0.006907894736842105,0.06907894736842106
0.87,0.19,3,0.006907894736842105,0.06907894736842106
0.87,0.2,3,0.006907894736842105,0.06907894736842106
0.87,0.22,3,0.006907894736842105,0.06907894736842106
